result_lag_1,result_lag_2,result_lag_3,result_lag_4,result_lag_5,multiplier_lag_1,multiplier_lag_2,multiplier_lag_3,multiplier_lag_4,multiplier_lag_5,multiplier_mean_5,multiplier_mean_10,multiplier_mean_20,multiplier_std_5,multiplier_std_10,multiplier_std_20,hour,minute,day_of_week,is_weekend,hour_sin,hour_cos,previous_streak,result_1_count_10,result_1_count_20,result_2_count_10,result_2_count_20,result_5_count_10,result_5_count_20,result_10_count_10,result_10_count_20,result_20_count_10,result_20_count_20,result_40_count_10,result_40_count_20,result_50_count_10,result_50_count_20,target
20.0,2.0,1.0,50.0,40.0,15.0,2.0,1.0,2.0,16.0,7.2,7.9,5.85,7.596051605933177,7.34014834848573,6.019923062980999,2,24,3,0,0.49999999999999994,0.8660254037844387,1.0,1.0,6.0,3.0,3.0,1.0,3.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,2
2.0,20.0,2.0,1.0,50.0,2.0,15.0,2.0,1.0,2.0,4.4,7.6,5.7,5.941380311005178,7.5306779981029015,6.079300513779699,2,25,3,0,0.49999999999999994,0.8660254037844387,1.0,1.0,6.0,4.0,4.0,0.0,2.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,2
2.0,2.0,20.0,2.0,1.0,2.0,2.0,15.0,2.0,1.0,4.4,6.3,5.65,5.941380311005178,7.2272631980116335,6.106726231227163,2,26,3,0,0.49999999999999994,0.8660254037844387,2.0,1.0,6.0,5.0,5.0,0.0,2.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1
1.0,2.0,2.0,20.0,2.0,1.0,2.0,2.0,15.0,2.0,4.4,6.2,5.65,5.941380311005178,7.299923896102541,6.106726231227163,2,26,3,0,0.49999999999999994,0.8660254037844387,1.0,2.0,6.0,4.0,5.0,0.0,2.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2
2.0,1.0,2.0,2.0,20.0,2.0,1.0,2.0,2.0,15.0,4.4,6.2,5.25,5.941380311005178,7.299923896102541,6.0686858024139845,2,27,3,0,0.49999999999999994,0.8660254037844387,1.0,2.0,6.0,4.0,6.0,0.0,2.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,10
10.0,2.0,1.0,2.0,2.0,10.0,2.0,1.0,2.0,2.0,3.4,5.3,5.7,3.7148351242013398,5.982381539896039,6.070636834710784,2,28,3,0,0.49999999999999994,0.8660254037844387,1.0,2.0,5.0,4.0,6.0,0.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,5
5.0,10.0,2.0,1.0,2.0,5.0,10.0,2.0,1.0,2.0,4.0,4.2,5.9,3.674234614174765,4.661902329879225,5.972745115148169,2,29,3,0,0.49999999999999994,0.8660254037844387,1.0,2.0,4.0,4.0,6.0,1.0,3.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,5
5.0,5.0,10.0,2.0,1.0,5.0,5.0,10.0,2.0,1.0,4.6,4.5,6.1,3.5071355833500344,4.600724580614089,5.866048611781995,2,29,3,0,0.49999999999999994,0.8660254037844387,2.0,2.0,3.0,4.0,6.0,2.0,4.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,2
2.0,5.0,5.0,10.0,2.0,2.0,5.0,5.0,10.0,2.0,4.8,4.6,6.15,3.2710854467592227,4.52646538580479,5.824404193608675,2,30,3,0,0.49999999999999994,0.8660254037844387,1.0,1.0,2.0,5.0,7.0,2.0,4.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,1
1.0,2.0,5.0,5.0,10.0,1.0,2.0,5.0,5.0,10.0,4.6,4.5,5.95,3.5071355833500344,4.600724580614089,5.933624081186986,2,31,3,0,0.49999999999999994,0.8660254037844387,1.0,2.0,3.0,4.0,7.0,2.0,3.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,1
